country,region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,middle east,39.1,39,39.1,39.1,38.6,38.6,38.6,38.5,38.4,38.3,38.1,36.7,36.1,35.8,35,34.4,33.4,32.7,31.2,29.9,29.2,28,27,26.3,25.6,24.8,23.8,23.5,23
Angola,africa,6.2,5.37,5.28,4.14,4.07,3.78,4.23,4.67,2.92,2.89,3.47,4.53,4.93,4.52,4.16,4.97,5,5.61,10.8,9.69,10.8,10.2,10.8,12.3,13.1,12.5,12.1,11.7,10.2
Albania,europe,24.9,27,26.7,26.5,25.6,24.8,28.1,27.3,25.8,24.9,23.6,23.4,22.8,22.4,22.4,21.3,20.8,29.8,27.9,26.4,31.4,36.3,33.8,31.9,29.7,23.8,22.7,21.5,22
United Arab Emirates,middle east,0.0001,0.0001,0.0001,0.0001,0.00013,0.00015,0.00014,0.00013,0.00012,0.00012,0.00011,0.00015,0.00014,0.00012,0.00018,0.00032,0.00069,0.00141,0.00199,0.00301,0.00436,0.00577,0.00732,0.00925,0.0107,0.0143,0.0624,0.466,0.833
Argentina,latin america,1.04,1.24,1.26,1.63,1.41,1.67,1.54,1.33,1.35,1.15,1.09,1.11,1.66,1.31,1.03,0.991,0.944,0.719,0.723,0.784,0.719,0.55,0.539,0.58,0.581,0.587,0.587,0.546,0.561
Armenia,europe,24.7,25.1,25.2,25.2,25,24.9,24.7,24.4,24.2,23.8,23.1,22.5,21.8,21.1,20.4,19.6,18.6,17.9,17.4,15.2,14,13.1,12.3,7.61,7.34,6,2.32,1.36,1.28
Australia,oceania,0.944,1,1.11,1.03,0.959,0.97,0.914,0.802,0.879,0.854,0.563,0.459,0.421,0.402,0.335,0.317,0.277,0.241,0.247,0.271,0.223,0.212,0.222,0.239,0.226,0.217,0.189,0.19,0.185
Austria,europe,3.93,3.81,3.71,3.53,3.4,3.59,3.06,2.8,2.8,2.73,2.57,2.55,2.13,1.02,1.38,1.44,2.35,2.31,2.19,2.16,2.02,1.93,1.84,2.02,1.61,1.51,1.46,1.24,1.08
Azerbaijan,asia,37,37.6,36.7,37.5,38.8,39,38.7,38.1,37.8,37.8,37.9,38.1,37.7,37.1,37.4,37.2,36.2,35.7,34.8,35.1,36.1,35.6,34.8,34.7,33.6,33.4,33.5,33.8,33
Burundi,africa,37.4,37.4,37.2,36.6,37.6,38.8,37.9,37.4,36.6,35.5,34.9,34.5,33,35.6,33.5,33.9,32.4,32.9,31.3,31.8,31.6,30.4,30,29.5,29.1,27.6,27.6,27.2,26.9
Belgium,europe,2.35,2.78,2.5,2.38,2.54,2.56,2.33,1.99,2.47,2.09,1.98,1.84,1.68,1.71,1.7,1.54,1.29,1.21,1.25,0.98,1.11,0.842,0.909,0.908,0.894,0.798,0.73,0.845,0.797
Benin,africa,25.9,25.6,25.4,20.3,20.5,20.1,19.7,19.9,19.1,18.9,18,17.7,17.3,17.6,17,17.1,17.4,18,17.6,17,16.9,16.9,16.5,15.9,14.8,15.2,14.2,13.8,12.7
Burkina Faso,africa,52.9,52.5,52.5,52.1,52,51.9,51,51.6,50.1,50.2,50.4,49.8,48,47.3,48.2,47.6,46,46.9,44.9,42.3,40.3,40.7,41.9,41.1,40.8,39.6,38.7,38.7,38.3
Bangladesh,asia,25.7,25.7,25.7,25.6,25.6,25.5,25.3,25.2,24.9,24.6,24.3,23.9,23.4,23,22.4,21.8,21.8,21.8,21.8,21.8,20.6,19.4,18.2,17,15.7,14.5,11.9,11.1,10.4
Bulgaria,europe,1.04,1.12,1.17,1.21,1.23,1.23,1.44,1.45,1.73,1.73,1.55,1.7,2.03,2.15,1.54,1.28,1.17,1.01,1.02,1.04,1.02,0.834,0.666,0.692,0.645,0.61,0.784,0.745,0.618
Bahrain,middle east,0.0785,0.0693,0.06,0.0573,0.054,0.0497,0.0465,0.04,0.0388,0.04,0.0372,0.596,0.58,0.079,0.568,0.571,0.545,0.538,0.532,0.536,0.559,0.534,0.513,0.486,0.442,0.431,0.438,0.451,0.449
Bahamas,caribbean,0.467,0.366,0.435,0.4,0.577,0.694,0.2,0.243,0.22,0.153,0.104,0.373,0.18,0.249,0.224,0.206,0.18,0.163,0.282,0.292,0.301,0.306,0.3,0.294,0.282,0.28,0.278,0.265,0.258
Bosnia and Herzegovina,europe,16.1,17.7,18.6,17.6,16,12,9.83,8.46,7.51,7.04,6.77,6.59,6.54,6.23,5.97,5.73,4.36,5.41,6.75,5.67,5.25,4.67,4.3,3.98,3.98,3.96,3.94,3.73,3.02
